Jaar;Zorgsoort;Subgroep;Kosten;Mensen
2019;Extramurale farmacie;A - MAAGDARMKANAAL EN METABOLISME;791.601.852;4391562
2019;MSZ - DBC zorgproducten;Bewegingsapparaat;2.159.079.422;1383381
2019;Extramurale farmacie;R - ADEMHALINGSSTELSEL;605.870.826;3676492
2019;Hulpmiddelen;Prothesen;77.175.190;75411
2019;Wlz instelling;VenV;10.652.260.199;178383
2019;Wlz instelling;LVG;114.587.120;1465
2019;Multidisciplinaire zorg vanuit eerstelijn;Innovatie;26.037.151;52261
2019;Hulpmiddelen;Hulpmiddelen bij ademhalingsproblemen;136.204.997;787066
2019;MSZ - dure geneesmiddelen;Dure geneesmiddelen;2.325.241.655;293329
2019;MSZ - DBC zorgproducten;letsel;1.537.196.857;781649
2019;Extramurale farmacie;V - DIVERSE MIDDELEN;38.128.465;40941
2019;Hulpmiddelen;Hulpmiddelen in verband met behandeling;61.235.648;414971
2019;Huisartsenzorg;Resultaatbeloning en zorgvernieuwing;223.262.794;16674017
2019;Multidisciplinaire zorg vanuit eerstelijn;Multidisciplinaire zorg;511.999.404;7406628
2019;Extramurale farmacie;Z - NIET VAN TOEPASSING;2.057.748;23343
2019;Wijkverpleging;ZIN;3.139.604.346;570601
2019;MSZ - overige zorgproducten;OZP Overige verrichtingen en trajecten;617.206.744;971734
2019;Extramurale farmacie;N - ZENUWSTELSEL;606.500.219;2932773
2019;Wlz thuiswonend;VenV;1.161.859.046;46236
2019;Geestelijke gezondheidszorg;Langdurige GGZ;152.445.594;2515
2019;Overige eerstelijnszorg;Fysiotherapie;516.275.379;842156
2019;Hulpmiddelen;Zelfmeetapparatuur voor bloedstollingstijden;382.973;883
2019;Overige eerstelijnszorg;Paramedische zorg overig;310.625.565;951343
2019;MSZ - dure geneesmiddelen;Stollingsfactoren;114.208.810;8820
2019;Wlz thuiswonend;GGZ;110.465;1
2019;Overig;Zorg zintuiglijk gehandicapten;166.402.698;34180
2019;Hulpmiddelen;Orthesen en schoenvoorzieningen;196.092.987;190429
2019;MSZ - DBC zorgproducten;kinderwens, zwangerschap, bevalling en postnatale zorg;1.124.593.726;508164
2019;MSZ - DBC zorgproducten;Psychische stoornissen;212.940.657;159278
2019;Wlz thuiswonend;Functies;636.424.297;66518
2019;Extramurale farmacie;Y - NIET INGEVULD;104.620.516;196662
2019;MSZ - DBC zorgproducten;overig, niet toewijsbaar;696.377.923;613640
2019;Hulpmiddelen;Hulpm. voor communicatie informatie en signalering;13.307.746;60537
2019;Hulpmiddelen;Hulpm. t.b.v. arm-hand-vingerfunctie;7.950.425;1636
2019;MSZ - DBC zorgproducten;ziekten van bloed en bloedvormende organen;134.232.580;89531
2019;Wlz thuiswonend;LG;382.768.138;7154
2019;Hulpmiddelen;Hulpmiddelen voor de mobiliteit van personen;21.381.452;143597
2019;Extramurale farmacie;B - BLOED EN BLOEDVORMENDE ORGANEN;493.805.928;2309243
2019;Wlz overig;Wlz overig;5.656.100;982
2019;Geboortezorg;Geboortezorg;575.701.974;288265
2019;MSZ - DBC zorgproducten;Huid en subcutis;254.402.236;488297
2019;Extramurale farmacie;J - ANTIMICROBIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;474.667.301;3685529
2019;Overige eerstelijnszorg;Mondzorg;793.912.557;3077831
2019;MSZ - DBC zorgproducten;infectieziekten;196.224.628;154028
2019;Extramurale farmacie;M - SKELETSPIERSTELSEL;122.979.502;2564776
2019;Extramurale farmacie;Onbekend;137.840.493;2062124
2019;Huisartsenzorg;Huisartsenzorg_onbekend;1.356.262;53302
2019;Hulpmiddelen;Visuele hulpmiddelen;31.610.685;1202350
2019;Wlz thuiswonend;SGLVG;2.406.814;236
2019;Extramurale farmacie;C - HARTVAATSTELSEL;738.025.196;3802096
2019;MSZ - overige zorgproducten;Onbekend;102.938.737;36167
2019;Wlz instelling;ZG;236.741.801;2244
2019;Multidisciplinaire zorg vanuit eerstelijn;Resultaatbeloning en zorgvernieuwing;85.965.590;3444590
2019;Hulpmiddelen;Diabeteshulpmiddelen;144.686.150;264564
2019;Extramurale farmacie;G - UROGENITALE STELSEL EN GESLACHTSHORMONEN;112.340.560;1849775
2019;Geestelijke gezondheidszorg;GGZ overig;12.599.625;36198
2019;Huisartsenzorg;Praktijkondersteuning somatiek;71.041.302;10251692
2019;Hulpmiddelen;Hulpmiddelen onbekend;31.584.784;547086
2019;MSZ - DBC zorgproducten;Hartvaatstelsel;3.521.650.471;1345813
2019;MSZ - DBC zorgproducten;nieuwvormingen;3.776.039.314;1545427
2019;MSZ - DBC zorgproducten;Spijsverteringsstelsel;1.334.473.443;739181
2019;Hulpmiddelen;Auditieve hulpmiddelen;146.616.070;153286
2019;MSZ - overige zorgproducten;Add-ons overig;25.966.277;5466
2019;MSZ - DBC zorgproducten;Endocriene, voedings en stofwisselingsziekten;553.352.668;474353
2019;Subsidieregeling Wlz;Subsidieregeling extramurale behandeling;71.810.514;34466
2019;Wijkverpleging;Onbekend;55.070.046;14539
2019;Wlz thuiswonend;Wlz-indiceerbaar;11.311.651;277
2019;Wlz instelling;Functies;37.443.077;28779
2019;Hulpmiddelen;Transportondersteuners van bloed en lymfe;76.523.609;377853
2019;Geestelijke gezondheidszorg;Basis GGZ;188.987.192;194243
2019;Hulpmiddelen;Hulpmiddelen geen verstrekking Zvw;3.846.847;124369
2019;Wijkverpleging;PGB;333.236.087;20623
2019;Hulpmiddelen;Hulpmiddelen voor thuisdialyse;1.492.390;975
2019;MSZ - overige zorgproducten;Intensive Care;1.012.473.725;86822
2019;Wlz instelling;SGLVG;32.208.916;358
2019;Extramurale farmacie;S - ZINTUIGLIJKE ORGANEN;149.258.574;2164920
2019;Wlz thuiswonend;VG;2.008.305.597;41249
2019;MSZ - DBC zorgproducten;Urogenitaal systeem;1.267.761.739;676487
2019;Extramurale farmacie;L - ONCOLYTICA EN IMMUNOMODULANTIA;357.753.160;331574
2019;Wlz instelling;LG;662.026.099;8066
2019;Wlz instelling;GGZ;484.528.748;5079
2019;Hulpmiddelen;Hulpmiddelen voor anticonceptionele doeleinden;80.949;11718
2019;MSZ - DBC zorgproducten;Onbekend;28.284.264;25436
2019;Wlz thuiswonend;ZG;53.094.523;1230
2019;Hulpmiddelen;Hulpmiddelen voor het toedienen van voeding;18.394.992;21458
2019;Extramurale farmacie;H - SYSTEMISCHE HORMOONPREPARATEN, EXCL GESLACHTSHORMONEN;165.137.718;1394748
2019;Overig;Ziekenvervoer;733.968.982;655026
2019;Extramurale farmacie;P - ANTIPARASITICA, INSECTICIDEN EN INSECTENWERENDE MIDDELEN;9.346.510;237285
2019;Wlz instelling;VG;6.196.293.925;72284
2019;Geestelijke gezondheidszorg;Gespecialiseerde GGZ klinisch (met verblijf);771.389.677;30495
2019;Geestelijke gezondheidszorg;Gespecialiseerde GGZ ambulant (zonder verblijf);1.145.026.741;336915
2019;MSZ - DBC zorgproducten;Zenuwstelsel en zintuigen;1.814.086.590;1973987
2019;Wlz thuiswonend;Functies en klassen;1.352.503;26
2019;MSZ - overige zorgproducten;OZP Paramedische behandeling en onderzoek;35.745.537;363406
2019;Hulpmiddelen;Inrichtingselementen van woningen;108.277.295;370740
2019;Overige eerstelijnszorg;Eerstelijnsverblijf;280.270.071;36846
2019;Overig;Grensoverschrijdende zorg;252.243.810;259030
2019;MSZ - overige zorgproducten;Eerstelijnsdiagnostiek;806.200.027;7261079
2019;Extramurale farmacie;D - DERMATOLOGICA;169.243.719;3436264
2019;Hulpmiddelen;Verzorgingsmiddelen;406.523.508;730407
2019;MSZ - DBC zorgproducten;Ademhalingswegen;1.178.243.183;894118
2019;Hulpmiddelen;Hulpmiddelen niet gespecificeerd;398.412;77
2019;Wlz thuiswonend;LVG;5.435.092;371
2019;Huisartsenzorg;Huisartsenzorg;2.722.300.770;16985662
