Jaar;Zorgsoort;Subgroep;Kosten;Mensen;Males;Females;Kostpp;;;;
2019;MSZ - DBC zorgproducten;Huid en subcutis;254.374.468;488296;202569;285727;521;;;;
2019;Extramurale farmacie;Z - NIET VAN TOEPASSING;2.057.719;23342;9506;13836;88;;;;
2019;Hulpmiddelen;Hulpm. voor communicatie informatie en signalering;13.307.746;60537;15556;44981;220;;;;
2019;Wlz thuiswonend;LG;382.622.532;7151;4141;3010;53506;;;;
2019;Hulpmiddelen;Hulpmiddelen voor de mobiliteit van personen;21.381.349;143595;51282;92313;149;;;;
2019;Overige eerstelijnszorg;Paramedische zorg overig;310.604.545;951333;404570;546763;326;;;;
2019;Hulpmiddelen;Diabeteshulpmiddelen;144.682.749;264561;131543;133018;547;;;;
2019;Geboortezorg;Geboortezorg;575.652.107;288264;32;288232;1997;;;;
2019;Wlz thuiswonend;Functies en klassen;1.352.503;26;16;10;52019;;;;
2019;MSZ - DBC zorgproducten;Zenuwstelsel en zintuigen;1.813.942.162;1973986;896516;1077467;919;;;;
2019;MSZ - DBC zorgproducten;kinderwens, zwangerschap, bevalling en postnatale zorg;1.124.265.473;508162;142686;365476;2212;;;;
2019;Overig;Zorg zintuiglijk gehandicapten;166.402.429;34179;18649;15530;4869;;;;
2019;Wlz thuiswonend;VenV;1.159.213.332;46169;16325;29844;25108;;;;
2019;Hulpmiddelen;Hulpm. t.b.v. arm-hand-vingerfunctie;7.950.425;1636;860;776;4860;;;;
2019;Geestelijke gezondheidszorg;Gespecialiseerde GGZ klinisch (met verblijf);771.204.262;30494;16789;13705;25290;;;;
2019;Wlz instelling;SGLVG;32.208.916;358;231;127;89969;;;;
2019;MSZ - DBC zorgproducten;Spijsverteringsstelsel;1.334.306.696;739179;336561;402617;1805;;;;
2019;Hulpmiddelen;Hulpmiddelen onbekend;31.583.404;547084;204847;342237;58;;;;
2019;MSZ - DBC zorgproducten;nieuwvormingen;3.775.687.508;1545426;692970;852454;2443;;;;
2019;Huisartsenzorg;Huisartsenzorg;2.722.272.197;16985627;8406835;8578776;160;;;;
2019;MSZ - DBC zorgproducten;Psychische stoornissen;212.922.414;159277;80209;79068;1337;;;;
