Jaar;Zorgsoort;Subgroep;Kosten;Mensen
2019;MSZ - DBC zorgproducten;ziekten van bloed en bloedvormende organen;134.232.580,11;89531
2019;Wlz thuiswonend;Functies en klassen;1.352.503,28;26
2018;Huisartsenzorg;Resultaatbeloning en zorgvernieuwing;197.241.957,58;16642343
2019;Hulpmiddelen;Hulpm. voor communicatie informatie en signalering;13.307.745,51;60537
2019;Wlz thuiswonend;Wlz-indiceerbaar;11.311.651,13;277
2019;Hulpmiddelen;Visuele hulpmiddelen;31.610.685,47;1202350
2018;MSZ - DBC zorgproducten;Hartvaatstelsel;3.413.806.540,38;1347949
2019;MSZ - DBC zorgproducten;kinderwens, zwangerschap, bevalling en postnatale zorg;1.124.593.726,23;508164
2018;Hulpmiddelen;Auditieve hulpmiddelen;143.543.235,57;160890
2018;Extramurale farmacie;Y - NIET INGEVULD;95.883.611,15;192275
2019;Extramurale farmacie;Z - NIET VAN TOEPASSING;2.057.748,44;23343
2018;Wlz thuiswonend;ZG;46.579.340,81;1155
2019;Hulpmiddelen;Hulpmiddelen bij ademhalingsproblemen;136.204.997,22;787066
2019;MSZ - dure geneesmiddelen;Dure geneesmiddelen;2.325.241.655;293329
2019;Extramurale farmacie;B - BLOED EN BLOEDVORMENDE ORGANEN;493.805.928,30;2309243
2019;Wlz overig;Wlz overig;5.656.100,34;982
2018;Overige eerstelijnszorg;Paramedische zorg overig;287.790.020,98;890172
2018;Extramurale farmacie;M - SKELETSPIERSTELSEL;119.423.528,43;2639350
2018;Geboortezorg;Geboortezorg;571.179.969,10;290616
2019;MSZ - overige zorgproducten;Onbekend;102.938.736,56;36167
2018;Extramurale farmacie;D - DERMATOLOGICA;157.421.736,85;3465506
2018;Hulpmiddelen;Hulpmiddelen voor de mobiliteit van personen;18.598.851,43;143081
2018;Multidisciplinaire zorg vanuit eerstelijn;Resultaatbeloning en zorgvernieuwing;89.362.438,74;3633829
2018;Overige eerstelijnszorg;Eerstelijnsverblijf;273.452.336;36704
2019;Wlz thuiswonend;LG;382.768.137,82;7154
2018;Extramurale farmacie;L - ONCOLYTICA EN IMMUNOMODULANTIA;297.515.034,97;313481
2019;Wlz instelling;ZG;236.741.800,93;2244
2018;MSZ - DBC zorgproducten;Bewegingsapparaat;2.128.963.913,05;1373409
2018;Extramurale farmacie;G - UROGENITALE STELSEL EN GESLACHTSHORMONEN;109.813.008,24;1749025
2018;MSZ - DBC zorgproducten;ziekten van bloed en bloedvormende organen;128.191.507,05;86677
2019;Hulpmiddelen;Hulpmiddelen voor de mobiliteit van personen;21.381.452,21;143597
2019;Extramurale farmacie;S - ZINTUIGLIJKE ORGANEN;149.258.574,21;2164920
2018;MSZ - DBC zorgproducten;letsel;1.508.348.894,78;786361
2018;Overige eerstelijnszorg;Fysiotherapie;499.107.830,66;816015
2019;Overige eerstelijnszorg;Mondzorg;793.912.557,05;3077831
2018;MSZ - overige zorgproducten;Overige producten;211;1
2018;Wijkverpleging;ZIN;3.225.555.450,69;571939
2018;Wlz instelling;GGZ;470.508.944,24;5340
2018;MSZ - DBC zorgproducten;Endocriene, voedings en stofwisselingsziekten;537.794.869,99;472743
2018;MSZ - DBC zorgproducten;Onbekend;42.023.871,63;31784
2019;MSZ - DBC zorgproducten;infectieziekten;196.224.628,37;154028
2018;Extramurale farmacie;J - ANTIMICROBIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;470.098.508,17;3774452
2019;Wlz instelling;SGLVG;32.208.915,99;358
2019;Hulpmiddelen;Zelfmeetapparatuur voor bloedstollingstijden;382.973,04;883
2019;Wlz thuiswonend;Functies;636.424.297,35;66518
2019;MSZ - overige zorgproducten;Eerstelijnsdiagnostiek;806.200.027;7261079
2018;MSZ - overige zorgproducten;Intensive Care;1.031.258.175,61;88869
2018;Multidisciplinaire zorg vanuit eerstelijn;Multidisciplinaire zorg;489.638.327,83;6164347
2018;Hulpmiddelen;Hulpmiddelen onbekend;31.185.975,53;466619
2018;Hulpmiddelen;Verzorgingsmiddelen;455.135.406,24;752284
2018;MSZ - dure geneesmiddelen;Stollingsfactoren;129.472.089,07;8866
2018;Hulpmiddelen;Orthesen en schoenvoorzieningen;185.578.779,11;274527
2019;MSZ - DBC zorgproducten;Spijsverteringsstelsel;1.334.473.443,05;739181
2019;MSZ - overige zorgproducten;Add-ons overig;25.966.277,43;5466
2018;Hulpmiddelen;Hulpmiddelen niet gespecificeerd;231.226,68;65
2019;Hulpmiddelen;Transportondersteuners van bloed en lymfe;76.523.609,36;377853
2018;Wlz thuiswonend;VenV;978.630.317,87;39666
2019;Extramurale farmacie;R - ADEMHALINGSSTELSEL;605.870.826,04;3676492
2018;Huisartsenzorg;Praktijkondersteuning somatiek;68.834.294,38;10339255
2018;Multidisciplinaire zorg vanuit eerstelijn;Innovatie;24.656.371,61;49105
2019;Wlz instelling;LVG;114.587.119,71;1465
2018;Overig;Ziekenvervoer;690.340.049,16;660003
2018;MSZ - DBC zorgproducten;Huid en subcutis;250.332.060,98;489239
2019;MSZ - overige zorgproducten;Intensive Care;1.012.473.725,42;86822
2018;Hulpmiddelen;Inrichtingselementen van woningen;102.147.610,83;358985
2018;Hulpmiddelen;Hulpmiddelen in verband met behandeling;60.017.343,05;409430
2019;Huisartsenzorg;Resultaatbeloning en zorgvernieuwing;223.262.793,69;16674017
2019;Overige eerstelijnszorg;Eerstelijnsverblijf;280.270.070,97;36846
2019;Hulpmiddelen;Inrichtingselementen van woningen;108.277.294,81;370740
2019;Multidisciplinaire zorg vanuit eerstelijn;Multidisciplinaire zorg;511.999.404,36;7406628
2019;Multidisciplinaire zorg vanuit eerstelijn;Resultaatbeloning en zorgvernieuwing;85.965.589,52;3444590
2018;Extramurale farmacie;P - ANTIPARASITICA, INSECTICIDEN EN INSECTENWERENDE MIDDELEN;8.641.374,60;235194
2019;Geestelijke gezondheidszorg;GGZ overig;12.599.625,43;36198
2019;Extramurale farmacie;Y - NIET INGEVULD;104.620.516,30;196662
2019;Geestelijke gezondheidszorg;Gespecialiseerde GGZ klinisch (met verblijf);771.389.677,16;30495
2019;Extramurale farmacie;H - SYSTEMISCHE HORMOONPREPARATEN, EXCL GESLACHTSHORMONEN;165.137.717,96;1394748
2019;Geestelijke gezondheidszorg;Gespecialiseerde GGZ ambulant (zonder verblijf);1.145.026.740,87;336915
2018;Overig;Zorg zintuiglijk gehandicapten;156.071.163,95;31793
2018;MSZ - DBC zorgproducten;Spijsverteringsstelsel;1.311.235.607,54;728410
2019;Extramurale farmacie;A - MAAGDARMKANAAL EN METABOLISME;791.601.852,09;4391562
2019;Wlz instelling;VG;6.196.293.924,56;72284
2018;MSZ - overige zorgproducten;OZP Overige verrichtingen en trajecten;578.879.819,29;992169
2018;Hulpmiddelen;Diabeteshulpmiddelen;132.043.271,94;264131
2018;Huisartsenzorg;Huisartsenzorg_onbekend;3.722.965,24;437938
2018;Wlz instelling;LVG;89.035.041,28;1408
2019;MSZ - DBC zorgproducten;letsel;1.537.196.857,02;781649
2018;Wlz thuiswonend;VG;1.851.944.765,82;39910
2019;MSZ - overige zorgproducten;OZP Paramedische behandeling en onderzoek;35.745.536,86;363406
2019;Wlz thuiswonend;LVG;5.435.092,06;371
2018;Wlz instelling;Functies;28.374.832,61;24380
2018;Wijkverpleging;Onbekend;51.272.631,23;10159
2019;Hulpmiddelen;Hulpmiddelen in verband met behandeling;61.235.647,90;414971
2018;Wlz overig;Wlz overig;5.787.868,04;1220
2019;Hulpmiddelen;Orthesen en schoenvoorzieningen;196.092.987,45;190429
2019;Extramurale farmacie;J - ANTIMICROBIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;474.667.300,71;3685529
2019;Overige eerstelijnszorg;Paramedische zorg overig;310.625.565,42;951343
2019;MSZ - dure geneesmiddelen;Stollingsfactoren;114.208.809,71;8820
2018;Extramurale farmacie;R - ADEMHALINGSSTELSEL;579.829.058,77;3678473
2019;Hulpmiddelen;Auditieve hulpmiddelen;146.616.069,91;153286
2019;Hulpmiddelen;Hulpmiddelen onbekend;31.584.784,02;547086
2019;MSZ - DBC zorgproducten;Hartvaatstelsel;3.521.650.471,11;1345813
2019;MSZ - DBC zorgproducten;Urogenitaal systeem;1.267.761.738,66;676487
2019;Overig;Grensoverschrijdende zorg;252.243.809,79;259030
2019;Extramurale farmacie;C - HARTVAATSTELSEL;738.025.196,10;3802096
2018;Extramurale farmacie;S - ZINTUIGLIJKE ORGANEN;136.856.195,18;2138973
2018;Geestelijke gezondheidszorg;Gespecialiseerde GGZ ambulant (zonder verblijf);1.993.842.542,76;525702
2018;Overig;Grensoverschrijdende zorg;359.663.934,42;355123
2018;MSZ - DBC zorgproducten;infectieziekten;195.421.536,91;154624
2019;Hulpmiddelen;Hulpmiddelen geen verstrekking Zvw;3.846.847,26;124369
2018;Extramurale farmacie;A - MAAGDARMKANAAL EN METABOLISME;749.982.231,09;4417751
2018;Hulpmiddelen;Hulpm. t.b.v. arm-hand-vingerfunctie;7.880.588,02;1582
2019;Hulpmiddelen;Hulpm. t.b.v. arm-hand-vingerfunctie;7.950.425,47;1636
2018;Extramurale farmacie;H - SYSTEMISCHE HORMOONPREPARATEN, EXCL GESLACHTSHORMONEN;153.875.888,48;1368537
2019;Huisartsenzorg;Huisartsenzorg_onbekend;1.356.261,84;53302
2019;Wijkverpleging;PGB;333.236.087,21;20623
2018;Hulpmiddelen;Hulpm. voor communicatie informatie en signalering;12.674.597,04;56712
2018;MSZ - overige zorgproducten;OZP Paramedische behandeling en onderzoek;33.056.746,84;345046
2019;Huisartsenzorg;Praktijkondersteuning somatiek;71.041.301,78;10251692
2019;Extramurale farmacie;V - DIVERSE MIDDELEN;38.128.465,40;40941
2019;MSZ - DBC zorgproducten;Bewegingsapparaat;2.159.079.422,06;1383381
2018;Geestelijke gezondheidszorg;Gespecialiseerde GGZ klinisch (met verblijf);1.428.027.283,11;45227
2018;Hulpmiddelen;Hulpmiddelen voor het toedienen van voeding;18.317.917,50;21063
2019;Extramurale farmacie;P - ANTIPARASITICA, INSECTICIDEN EN INSECTENWERENDE MIDDELEN;9.346.509,64;237285
2019;Wlz thuiswonend;VG;2.008.305.597,20;41249
2018;Wlz instelling;LG;605.759.520;8242
2019;Extramurale farmacie;D - DERMATOLOGICA;169.243.719,36;3436264
2019;Hulpmiddelen;Hulpmiddelen voor anticonceptionele doeleinden;80.949,08;11718
2019;MSZ - DBC zorgproducten;Onbekend;28.284.264,27;25436
2019;MSZ - DBC zorgproducten;Ademhalingswegen;1.178.243.182,65;894118
2019;Wlz instelling;LG;662.026.099,40;8066
2019;Wlz instelling;GGZ;484.528.748,21;5079
2019;Hulpmiddelen;Hulpmiddelen voor thuisdialyse;1.492.389,97;975
2018;Huisartsenzorg;Huisartsenzorg;2.556.264.857,89;16910384
2018;Geestelijke gezondheidszorg;Langdurige GGZ;150.296.715,29;2592
2018;Hulpmiddelen;Hulpmiddelen geen verstrekking Zvw;3.431.653,93;92950
2019;Wlz thuiswonend;SGLVG;2.406.814,04;236
2018;Wlz instelling;VenV;10.079.143.027,20;177780
2018;Extramurale farmacie;V - DIVERSE MIDDELEN;34.375.933,97;39575
2018;Extramurale farmacie;B - BLOED EN BLOEDVORMENDE ORGANEN;433.007.314,88;2279256
2019;MSZ - DBC zorgproducten;Endocriene, voedings en stofwisselingsziekten;553.352.668,18;474353
2019;Wijkverpleging;Onbekend;55.070.046,42;14539
